username,tweet
purrfessionals,remember this the people you trying step everyone you depend the people who your laundry cook clean your toilet pay the tax are the rakyat control every part your life don fuck with 
itsmeazriq,negara kita sedang sakit rakyat makin hari makin hilang hutan gondol tanah hilang dari bukit yang berkuasa atas rakit rakyat tenggelam disorak girang dia yang diberi kuasa dan wang rakyat ditinggalnya dalam terang tinggal kita lawan sehingga kita pula yang menang 
annieveeee,the kitties are back 
madriabdullah,they’ definitely heard and seen this campaign and chose mute sweeping under the rug yet again  guess really need resort being the street for them learn the hard way 
mohdfaizalmusa1, banyaknya  
saddamyc1,walaupun kami dah give tetapi kami harus berjuang demi rakyat bersama rakyat dan demi masa depan malaysia tercinta moga doa orang teraniaya makbulkan tuhan 
hemapreya,malaysians are raising black flag outside their homes because the government has failed the people its mis handling the covid pandemic 
fattitan,get your friends and family registered vote make sure these politicians don’ see another day office this coming election 
saddamyc1,kekal lawan tidak kah kamu wahai pemimpin malu kamu agama islam pemimpin islam tetapi menindas rakyat selama bulan 
syafiq_lotd,yang kenal aku dia tahulah aku selalu pakai baju warna apa 
ly_tripleh,diorang pesta durian tak ada pula ikut sop pale bana diorang rakyat bunuh diri tak ada pulak ambil tahu bila kibar putih nak ugut saman bagai babi kau babi kau  
lailimazlan,goodnight malaysia  
guna_sundram,must not end here 
chinepaiyenoffl,and this one real life ramifications this and people dare say why why blame the kerajaan yall are literal shit suckers were stabbed also will continue lick the shit out their boots 
janetbanjari,204k tahniah rakyat malaysia  
sowhateverlah,sila letak jawatan  bukak parlimen segera tamat darurat 
irmizwan,orang kenamaan boleh sana sini hingga luar negara tanpa ada sekatan atas alasan daftar anak belajar rakyat marhaen pjj berpoligami tidak boleh pula nak merentas daerah negeri utk menjenguk isteri suami serta anak 
besttongkat,jom lawan kobid dgn penawar alternatif terbaik dan berkesan 
jiqajiqa1,lebih datang dari mana sila pecahkan kepada local and bukan local baru tahu sapa yang penyumbang nye yang merana peniaga semua yang terjejas 
ijahcyrus,follow juga  
afiqazni,saat suarakan kegusaran bhw ada gerakan hendak pecahbelahkan dulu mahathir mengaku gesa utk peralihan pimpinan tapi dituduh gila kuasa oleh kamu dan ahli bersatu lain hal gila kuasa itu ditunggang utk mengkhianat 
aidijohan,bangkit rakyat 
mohdfaizalmusa1,kita jangan kawan atau ada orang keliling macam iblis setan mereka ini macam saka bila kita hujung nyawa kan kita dah nak jalan secara terhormat tapi waris jari hantu pulak tak mahu lepaskan 
annieveeee,resistance futile ✊⚠️  
jplfazura,kita boleh jatuh perang sivil kalau degil dan tak mahu letak jawatan jikalau agong perintah atm untuk masuk campur akan ada infighting siapa yang akan penguatkuasa sokong adakah loyalis akan menuntut perintah kerajaan atau monarki 
jackkinlim,after what happened today what you think should next — have idea but when the activists and advocates and people trust think something will support wholeheartedly 
