nuru1ain_,@SyedSaddiq Penat dengan Azmin.
faridhussar,@SyedSaddiq KITA DALAM PANDEMIK!   KEBANYAKKAN NEGARA #LOCKDOWN SEMULA..  KAU NK #LAWAN APA NI???  CUKUP KITA BANTU SESAMA SENDIRI BUAT MASA SEKARANG..  JANGAN KERUHKAN KEADAAN!   #MALAYSIA 🤍🇲🇾
ashvinmenon,@SyedSaddiq Because I've given up waiting for the opposition to get their shit together.
ottel,@SyedSaddiq saja saja. Sebab saya boring ni.
neyzarariff,@SyedSaddiq Sbb habis duit kerajaan kat menteri bodoh. Patutnya tak keje tu padamkan diri.
_ch2_o,@SyedSaddiq #Lawan sebab #KerajaanGagal #KerajaanBangsat
nrhznsofea,"@SyedSaddiq @syahredzan sebab sy penat jadi rakyat malaysia yg semakin di tekan . Penat tengok makin ramai orang berjuang untuk teruskan hidup , penat nk tngok orang mati bunuh diri , penat dengan layanan sampah kerajaan"
0lunadark0,"@SyedSaddiq 1 tahun degree online habis gitu je , aku dah xde matlamat nak belajar ni :')"
quea90,@SyedSaddiq 1. Double standard. 2. Hilang pekerjaan. (First mco) 3. Sekarang dah sebulan unpaid leave. 4. Business home bake terjejas. Sesiapa nak beli dessert area damansara boleh dm atau follow barryscookiesndesserts dekat instagram.   #LawanTetapLawan
zamlimastor,@SyedSaddiq Menteri pun langgar SOP...
atikayazedd,@SyedSaddiq #LawanTetapLawan  https://t.co/95o3tcjJXA
maggigorengrant,@SyedSaddiq Let's not even start. Too many reasons why.  https://t.co/h0TudOmHmw
1ldk,@SyedSaddiq the policy makers have failed us big time
alifmegat,@SyedSaddiq Kerajaan mabok
janjidandelion,@SyedSaddiq Penat kena tipu dengan so called pemimpin yang rasa rakyat tidak celik. In need of a better Malaysia so that we could have a future.
nella_gant87,"@SyedSaddiq Mishandling of the pandemic: obsess with lockdowns, no mass test, no rapid contact tracing, not using positivity rate as WHO's recommendation, no warp speed vaccination, delay in vax purchase, not listening to public health experts."
mr_doublea,@SyedSaddiq Letih dipermainkan oleh pihak yang tidak bertanggungjawab.
nikkk_amirul,@SyedSaddiq  https://t.co/9wbqfzlDTm
aniza_noordin,"@SyedSaddiq I want us to be a great nation… one that is united, visionary and compassionate."
manpin,"@SyedSaddiq Saya dulu, masa saya jadi menteri di bawah Tun Mahathir, saya lah yang paling terer lawan Tun. Pening kepala Tun nak handle saya."
feydaus1,@SyedSaddiq Ahli politik semua sampah.  https://t.co/i9Wd4WsYJK
azman6089,@SyedSaddiq Penat...rindukan kedua org tua...adik beradik..semua saudara..
hadzizierasidi,@SyedSaddiq He can't manage his team.
kimlwawaqq,@SyedSaddiq Coz I ❤️ my country &amp; I won’t let politicians destroy my country! #lawan
icewalokum,@SyedSaddiq @syahredzan Takut kalah
auramariaaaaaaa,"@SyedSaddiq penat hadap pdpr. kerajaan bodoh buat sop macam budak tadika. kejap tukar tu tukar ni. tolonglah, sumpah penat fizikal and mental during this pandemic. rasa tak mampu nak teruskan dah. hilang semangat nak belajar."
zhixinjs,"@SyedSaddiq Sebab kerajaan ni gagal tak dapat tangani masalah Covid19.  Sebab kerajaan ni degil, tak nak dengar suara/pendapat dari pihak yang berpengalaman.  Sebab kerajaan ni gila kuasa, guna kuasa&amp;jawatan paksa rakyat.   Double standard | Kerajaan Gagal   🏴⚫⚫⚫"
aieman_arief,"@SyedSaddiq Sebab kita ada kuasa. Kalau kita boleh pilih mereka, kita pun boleh jatuhkan mereka"
chuckmsia,@SyedSaddiq Because people are literally dying of hunger.
wan_riduanj,@SyedSaddiq Dah muak dengan double standard
nafis_ammar,@SyedSaddiq @syahredzan Sebab tak nak #pause
zikryrusli,@SyedSaddiq 1 and cover all the chaos rn:  PRN Sabah.  https://t.co/lLxZa6tUpK
farishkimy,"@SyedSaddiq Buat lockdown tapi kilang masih beroperasi. Kluster kilang semakin bertambah. Tapi parlimen masih tak buka.   Barber shop dll, hampir lumpuh sebab tidak beroperasi. Tapi menteri ada yg langgar SOP pesta mkn durianlah, sambut hari jadi.   SAMPAI BILA RAKYAT KENA HADAP SEMUA NI?!"
lelyishak,"@SyedSaddiq 1. Policy mengarut,  2. Kabinet lemah, menteri bodo, xde integrity, xde tanggung jawab 3. Ekonomi makin teruk 4. Penguatkuaasan tidak telus n tulis. double standard everywhere. 5. Masalah x sudah2, xde exit plan"
ridhuan90,@SyedSaddiq we rage against the incompetence.
nazrulhn,@SyedSaddiq @syahredzan Saya #lawan sbb dah dekat setahun saya hilang punca pendapatan
yeeloon,@SyedSaddiq We need NEW HEROES to make positive changes   https://t.co/qP1ks8fxms
anuarf2,@SyedSaddiq @syahredzan What do you think Yb Sadiq? and Why?
chengkangzai,@SyedSaddiq don't feel like #Lawan.   Not like the government are educated anyway.
naimmuqri,"@SyedSaddiq Harap kerajaan yang baru nanti tak musnahkan harapan rakyat. Kalau berani, kita lihat orang orang ini juga akan #Lawan kamu nanti."
roobganesan,"@SyedSaddiq @syahredzan We are we headed to? There is no direction. No wawasan, tak de hala tuju"
mohdxanuar,@SyedSaddiq  https://t.co/tGbGyZrWyh
_ayiemrahim,@SyedSaddiq Penat dengan kerajaan yang orangnya berpendidikan tinggi tapi pemikirannya cetek waknat!
reenaalexx,"@SyedSaddiq Sebab MCO tidak dilaksanakan dengan betul, kes meningkat tapi tidak diambil peduli, buat PKP tapi kilang semua dibuka memang tak masuk akal langsung. Isu mental health meningkat, tapi takde bantuan untuk menolong rakyat. Vaccine ada orang dapat ada yang tak, dan lain2. #LAWAN 🏴"
salin_nak_gomen,@SyedSaddiq Basically Malaysia tiada standard. Nak jadi menteri xde standard nak join politik xde standard. Yang join ni ramai pandai bercakap tapi otak takde. Tak amanah dan tak bertanggungjawab.
jayngjaz,@SyedSaddiq Ingatkan Malaysia mcm RMC... Semua dh ada system dan funtion gila...
saltypeonies,"@SyedSaddiq Better future for the Malaysians, enough is enough. We need change and we can’t be letting old clowns to rule the country. Malaysia is a beautiful country with beautiful people ruined by a bunch of selfish clowns."
haniza_ahmad,@SyedSaddiq 1. Parlimen tidak boleh bersidang dgn alasan ditakuti kluster parlimen sangat mengarut. 100% MP telah divaksin. 2. Kilang terus dibuka walaupun hampir semua pekerja belum divaksin. 3. Mohon hukuman lebih berat ke atas penggubal undang2 yg langgar undang2.
adw_scarves,@SyedSaddiq Sebab menteri Malaysia semua bodoh takde otak! Patutnya bagi orang muda yang jadi pemimpin baru settle covid😢  Btw siapa nak beli tudung hitam buat bendera boleh ws saya 😉 #LawanTetapLawan  To order :  https://t.co/oJYvGtZdm1    https://t.co/fSu2OyULfm
tansteven10,@SyedSaddiq PM &amp; the entire cabinet should resign . Hopeless government !
twoaonedliv,@SyedSaddiq pembangkang- lawan kerajaan-dilawan simple as black&amp;white
suhtarbucks,@SyedSaddiq Penat. Dengan ketidakadilan dan kebodohan. Dan sedih tengok negara ni macam tak ada masa depan yang cerah bila banding dengan negara2 lain.
skylimi01086971,@SyedSaddiq Lawan sebab ada seorang atok tu buat keputusan ikut kepala otak dia seorang je sampai la dapat kuasa dekat kerajaan cirit yang ada sekarang ni.
twt_sakros,"@SyedSaddiq sebab Menteri Melayu Islam tapi kalah yahudi israel cara mentadbir. Sanggup bairkan rakyat kelaparan, mereka bermewah mewahan. Menghina rakyat yg dlam kesusahan. Yg selebihnya kawan kawan saya dari twitter dah cakap di bahagian reply tuan."
mightywern,"@SyedSaddiq 1. The way we are heading in this Covid-19 situation is very bad, and even with FMCO, our cases aren't drastically decreasing 2. Emergency ordinances that were given by the Agong to lead this ""rescue"", isn't helping, but instead, to the benefit the PM and other ministers"
aradiyanah,@SyedSaddiq My mental health is getting worse day by day:)
mightywern,"@SyedSaddiq The backdoor government isn't taking the Covid-19 situation seriously. Why not close the factories, where the factories are one of the main causes of the widespread of Covid-19 to the people."
kennyli32038941,@SyedSaddiq Kita lawan sebab kita bukan kawan. Kawan tak biar Kawan merana.
drjay67313590,@SyedSaddiq Everyday people are getting their vaccines but the daily cases still the same. Seriously it doesn't make sense at all and we are not dumb!
ryqrin,@SyedSaddiq Customer foreigner lenyap!
hanani_zz,@SyedSaddiq @idanial183 Saya dah penat hadap pdpr 2 tahun dgn power spec naik sbb asyik hadap screen lpstu x fhm kalau blaja online ok sekian rintihan pelajar
hausofpreve,@SyedSaddiq The replies have spoken
sobbashini,@SyedSaddiq Because this is not the government we voted for. People are loosing their jobs and dying! #lawan
pavinrajc,@SyedSaddiq 0 accountability. Everybody is more concerned about preserving power than to help the nation
menidina_,@SyedSaddiq  https://t.co/vQZnnVvCAm
anferneechew,@SyedSaddiq Hope the situation will not be worse than it is now！
jiwamerdeka17,@SyedSaddiq Takbir urus hancurrr
jakesharksmt,"@SyedSaddiq Since March 2020, my gym @SharksMuayThai that I built with my blood, sweat and tears (without bank loans) has been closed due to lockdowns for close to 12 months now. #KerajaanPembunuh did not do a thing about the spike in cases until it was too late. I am dying, we all are."
suhai22,@SyedSaddiq Sbb government don't even care👎 looser
im00bass16,"@SyedSaddiq Fedup dengan pemikiran kolot,semua tangkap muat,kami sakit,lapar ke apa,they dont care"
azroy9603,@SyedSaddiq Sebab kami rasa kami bukan diperintah oleh sekumpulan manusia yang berakal. Tapi diperintah oleh monyet2 yang langsung tidak tahu apa fungsi otak mereka. Mereka seolah-olah melakukan sesuatu tindakan dan membuat keputusan menggunakan kepala lutut tanpa memikirkan sebab dan akibat
zckhfzlmn,@SyedSaddiq Dah tua
harith_hakimz,"@SyedSaddiq Angkat bendera putih kata lawan kerajaan..tapi kerajaan xbg makanan on the spot kt orang yg dh separuh mati🤣🤭bila angkat bendera putih,kena kompaun plak tu..mana je yg xpasrah dgn kehidupan sbb serba ditindas seperti firaun yang menyeksa kuli🤭🤭🤭"
symtwittt,@SyedSaddiq Because of my daughter and other children. Imagine the stress of a 3 yo kena perap dalam rumah tak boleh ke sekolah jumpa kawan dan cikgu. A friend of mine anak dia darjah 1 sehari menangis sebab tak faham apa cikgu ajar on9. Rasa diri tak pandai. They deserve better than this.
aurorabehappy,@SyedSaddiq 1. Kerana mereka adalah pengkhianat undi rakyat 2. Muak dengan cara pimpinan yang kebelakang dan tiada pembaharuan.  3. Double standard  4. Rasuah 5. Harga barang dapur semakin mahal 6. PM dan menteri2 yang tak cekap.
kmladnan_,@SyedSaddiq @syahredzan Sebab ni #PembangkangLemah  https://t.co/rculP5qcQD
pa11ie,"@SyedSaddiq sebab kerajaan bodo. tapi nanti kalu PH buat hal, akan berlaku perkara sama, especially DAP nak taikkan melayu"
sayazulll,@SyedSaddiq @mmuhdnoahh lawan kerana benar
ehamarzayn,@SyedSaddiq Saya dah penat. Rakyat dah penat. Bantuan tak cukup dan lembap. Kerajaan paling banyak menteri dan timbalan tapi semua bodoh dan menyusahkan. Data semua tak tepat. TAK BERANI BERHUJAH. Lantas PENAKUT nak bukak PARLIMEN. Vaksin lembap. Tak professional. #MuhyiddinLetakJawatan
blablabla56428,@SyedSaddiq Fuckin governments going to African countries corruption level
valarmorgulish,@SyedSaddiq Sebab politicians semua main kotor.. Semua gelap mata kopiah terbang bila disogok dengan pangkat dan duit.. Semua jadi hati batu!!  https://t.co/LSugmDi0VF
kingalister2001,"@SyedSaddiq 1 The current leaders have no idea what they are doing.  2 The people care is left as the last priority, jobless, struggling without options to survive &amp; mentally depressed. 3 Ultimate greed of personal wealth &amp; career. 4 Malaysia is becoming laughing stock of the world.  #Lawan"
toeloll,"@SyedSaddiq Saya tak lawan pon YB , saya rela je .. saya biar je .. saya pon dah malas sebenarnya .. asal saya boleh gelak lagi cukup bahagia dah YB.."
pihtok,"@SyedSaddiq Sebab dah penat suara tak didengari. Sy tau status sy ni diabaikan. Tp sy nk yb tau, kami rakyat nak pemimpin yg adil dan empati terhadap nasib kami. Tak kira kerajaan atau pembangkang."
nellialll,@SyedSaddiq because enough is enough.
solllmatt,@SyedSaddiq sebab dah penat layan menteri2 bodoh kat malaysia dan dari bulan 2 saya daftar vaksin sampai harini masih takde tarikh :(
datuk_daus,"@SyedSaddiq Ank sy lahir masa pkp 1.0, sekarang dia dah setahun, dah hadap pkp setahun sampai akhirnya dia pun kena covid dan sembuh. Tp pkp masih x abes abes lagi."
ananinanino,@SyedSaddiq  https://t.co/NFTsOeH47C
netizen_natezen,@SyedSaddiq Sy lawan sbb : 1) ini bukan kerajaan yg sy undi hingga menang di PRU 14. Klu dulu kalah di pru sy redha tp ni dikhianat 2) suara rakyat disaluran yg betul iaitu Parlimen dimatikan 3) perlaksanaan undang2 yg double standard 4) Xda nmpk plan krisis jgka panjang utk pendidikan
marwan9918,@SyedSaddiq @snhkimy 90% menteri dalam kabinet buta hati..dungu..tak tau ape yg ade dalam kepala otak diorg..
dzulhelmy01,"@SyedSaddiq Lawan sebab wakil rakyat bukan tuhan untuk disembah utk pertolongan. Wakil rakyat berlagak tanggungjawab zero. Saya dah dua dos vaksin, anda ? Butoh pak hang !"
kaelucimpact,@SyedSaddiq penat tengok rakyat malaysia satu per satu fall into misery. penat tengok number kematian asik bertambah kian hari. penat dilayan oleh ahli politik mcm kita ni bodoh. penat dgn ahli politik yg sial dan tone deaf dan taktahu malu. dan saya risau dgn nasib family saya.
rejaie,"@SyedSaddiq Bukan setakat #KerajaanGagal hari ni bukan kerajaan dipilih, tetapi kegagalan mereka, paling jelas isu Covid, memusnahkan hidup rakyat dari segala segi: ekonomi, mental, kesihatan, pendidikan anak2, even kelangsungan hidup.  Sementara mereka boleh bermewah"
pakdeekal,"@SyedSaddiq Kami mahu sikap pilih bulu di hapuskn.. geng2 muda kecam ahli politik y terlibat dgn kempen bendera hitam.. hanya syed saddiq sahaja boleh terlibat dgn kempen ni la.. dari awal dh pilih bulu, dh pgg jwtn nnti lg la pilih bulu.. perangai pemerintah 60 thn subur dlm muda.. bangsat"
mr_ronanator,@SyedSaddiq Our ministers are now too exhausted and clueless in combating covid19 after giving all of what they have. The right time to replace them
dhnshg,@SyedSaddiq Why I #Lawan ? 🏴  I fight for the people that have lost loved ones from the wild spread of the Covid virus and those that have taken their own lives due to the hardships because our ‘Kerajaan’ has done so little to get our lives back to normalcy!   I fight because lives matter!
rubyahmad13,@SyedSaddiq Kami mahukan pemimpin yg terbuka boleh mendengar isi hati rakyat. Dan bukan yg penting kan diri serta sebok berpolitik.
khailisyarose_,@SyedSaddiq Because nothing hurts more and sadden me knowing that I got trapped by poverty and depression because of our Government who had promised us everything we need.. it's my first time taking a big step into an adult life in KL to find a better job then lockdown ruined it all.. #Lawan
shapitrazak,@SyedSaddiq sebab kami bukan haiwan
miqeyap,@SyedSaddiq Because we are the resistance . May the force be with you
dgafffhaz,"@SyedSaddiq Mostly ahli parlimen semua dah dapat vaccine kan? Pastu asal taknak bersidang? Agong gesa pun diorng buat keras. Gaji jalan? Wakil rakyat buat untuk rakyat. Bkn untuk 7 keturunan sendiri. Elok buang jela yg tua tu smua benak. Idc kalau orng nak kata ""eleh muda muda banyak bunyi"""
kaaralmarksu,"@SyedSaddiq Apabila rakyat ditindas bagi keperluan asas, Apabila kerakusan segelintir mengkaburi pentadbiran berhemah, Apabila rakyat hilang kepercayaan terhadap kerajaan yang tidak lagi berkaliber, Apabila demokrasi diganti hipokrasi, Maka KITA LAWAN #Lawan"
washandsinghbd,@SyedSaddiq #Lawan. Menteri tak buat kerja.
lonlitaaa,@SyedSaddiq Aku tak undi dia!
aabid_baharudin,"@SyedSaddiq PKP pertama hilang kerja Sblm dpt baby cuba bniaga, Da ada baby kita kena jaga, Nk hantar baby covid msh menggila,  Nk cr kerja kedai asyik tutup buka, Dpt gaji seribu dua habis ke penjaga, Mcari rezeki ssuap dua, Tanggungan kita semua berbeda,  Doa Allah mudahkn kita semua.Aminn"
jesstified3,@SyedSaddiq They started it.
jang_pilah,@SyedSaddiq #lawan kerana kerajaan menindas rakyat ibarat zionist haram jadah. kezaliman paling teruk dalam sejarah Malaysia
amirhadiamir,"@SyedSaddiq Ini perjuangan rakyat, orang politik boleh duduk diam. Masa dapat kuasa 2 kali 5 5 kali babi  Demokrasi milik rakyat “Pemimpin adalah rakyat, rakyat adalah pemimpin.”"
44hazim,@SyedSaddiq Menyampah sebab dorang la yg menyebabkan kes covid naik balik. Time PRN SABAH tu. Tu election yg pling bodo. Asal la kita ada banyak orang tua dah nak mati gilakan kuasa sangat yg memerintah Malaysia? Xfikir pasal orang lain. Orang² tua yg nk kuasa patut mati je. 🤦‍♂️
nuraazafirahh,@SyedSaddiq dah penat tengok kerajaan uruskan negara macam budak sekolah rendah habis upsr main jutaria.
fikrizuhairi_,@SyedSaddiq Dah lotih semua bondo taik jadi.  Kerajaan hancur Pemerintah menggagalkan.
johnranbow,@SyedSaddiq saya memang suka lawan
lorrrd_ejato,@SyedSaddiq sebab ada pemimpin politik selfish hipokrit dan punca hura hara negara sekarang ni. ooo bukan sekarang je tapi sejak zaman dia buat ISA lagi…nama dia @chedetofficial
abnrmalcrackhed,"@SyedSaddiq sebab saya penat, tersangatlah penat"
luqlock,"@SyedSaddiq double standard, cirit dan pru di sabah"
lomofactory,@SyedSaddiq Sbb rakyat mcm kami xdk kerja trpksa buat kerja apa ada trutama dlm bidang on9 skrg😭 xkerja xmkn la kami💔 kami bkn golongan KAYANGAN😔
marcone711,@SyedSaddiq Sbb saya malu n penat..semua bangang2
liyanamahyuddin,@SyedSaddiq Banyak tindakan yang tak guna logik akal
lomofactory,"@SyedSaddiq Sy tumpang iklan ya❤️Hye semua, sy ada jual polaroid🥰 20pcs RM10 je.Lagi bnyk korang beli lagi murah tau, 100PCS RM25 je🤩 dapat free 20pcs lagi pulak tu🤪 and selain polaroid, accessories and albums pon ada tau🤭 if berminat boleh pm saya ya 💫  https://t.co/5CmMMZLzWd 🌼  https://t.co/b8dZ9Re5Qt"
musangmerah6,@SyedSaddiq Kerana aku sayang negaraku  #lawan
menangpilihan,@SyedSaddiq @syahredzan 1. Covid-19 cases never gone down  1. Gvt gagal 1. PM gagal 1. Menteri2 gagal 1. Menteri2 TMenteri Duta KhasMB makan gaji buta dan beli Mercedes  1. Bini menteri jadi DG of Education  1. Parliamen tak buka &amp; Darurat 1. Vaksi tak ckp
shawalmahmood,"@SyedSaddiq Sebab sedih dan marah; - rakyat yg patuh sop, tp kes ttp naik - org hilang kerja, hilang keluarga - korg yg heboh buat pilihanraya, rakyat yg merana - bantuan tak brkesan pd org yg kerja mkn gaji hari, takde kwsp, sewa rumah - ahli politik kwsn hilang, tak spt masa kempen PRU😏"
kishenkarul,@SyedSaddiq Just for the sake of not spoilling this beautiful country with utter st*pid &amp; timid high gov officials that caters personal interest &gt; rakyat's interest.  Behaving like a 'rusa masuk kampung' attitude upon getting into power and making poor decisions.  Is Malaysian Gov a puppet?
irmizwan,"@SyedSaddiq orang kenamaan boleh ke sana sini hingga ke luar negara tanpa ada sekatan, atas alasan daftar anak belajar. rakyat marhaen yg pjj/berpoligami tidak boleh pula nak merentas daerah/negeri utk menjenguk isteri/suami serta anak"
_haziqq,"@SyedSaddiq sebab taknak orang lain terima nasib sama macam arwah ayah, berpenat menjaga family dari covid, akhirnya tewas dek kerana covid, left out sebab antara yang ""takselamat"" di ccu. Semua kerana covid cases spike, and kerajaan sangat slow nak tackle this issues."
dehaaeman,"@SyedSaddiq Sebab rakyat nak orang muda yg berjiwa rakyat memimpin,bukan lagi org2 tua yg gila kuasa bergaduh mcm budak baru masuk tadika sebab berebut kerusi"
apezkhu,@SyedSaddiq Pemimpin yang salah guna kuasa sampai susahkan rakyat. Rakyat guna platform social media untuk suarakan pendapat dan #lawan . Pemimpin yang tidak ada ‘empathy’ tidak harus menjadi pemimpin. Sampai bila nak pkp dan sekat&amp;tekan kehidupan rakyat.
xennials2,@SyedSaddiq Kerana kami benci kezaliman atok tua dan pengikut2nya yang tak habes2 lagi sialnya sampai skrg !
jiqajiqa1,"@SyedSaddiq 6K LEBIH DATANG DARI MANA YB? SILA PECAHKAN KEPADA LOCAL AND BUKAN LOCAL .. BARU TAHU SAPA YANG PENYUMBANG NYE .. YANG MERANA PENIAGA, SEMUA YANG TERJEJAS #LAWAN"
saufishopiy,"@SyedSaddiq Sy tahu pihak pengurusan semua bijak pandai, tu psl boleh jd menteri.. tp kenapa, New Zealand boleh handle.. apa tk cukup ke gaji yg diberi? Sy terlampau pelik, pelik!! Mulut naik berbuih sebut demi rak rakyat bagai, tp kejadah ramai org susah jadi putus asa, nsib baik aku duk kg"
idlicommunist,@SyedSaddiq wowowow so smart I’ll give you a gold star for this reply
areuokei,"@SyedSaddiq We have been studying online for months and don't really understand anything, it's so difficult and stressful studying online. We want to go back to school, also many people are going through financial problems, lost jobs, committed suicide which is really sad!"
sashazreen_,@SyedSaddiq PENAD !!!!
yuyualyra,"@SyedSaddiq No one up there fight for kids. Budak kecil 2y bukan fhm covid ni apa bila kita cakap xboleh kluar. Mental health diorg serious terabai. Ada yg nangis rindu atok nenek, ada yg main kt playground kena warning dgn polis, playground tutup, toy section tutup stationary pun tutup"
yuyualyra,@SyedSaddiq Terlalu banyak YB. Covid ni dh nak masuk dua tahun. Planning semua kelaut. Nk bg bantuan pun kena tny solat ke x dh mcm ambil alih tugas malaikat tahu org solat ke x.
irfankassim0303,@SyedSaddiq Why Lawan? When have the government showed us that they are working ever since PN took over?? When have they ever told the truth to the rakyat?? When is this bullshit going to end? ANSWER: NEVER - WE HAVE TO #Lawan #BenderHitam - No more Malaysian Jokers pls in the government
raf_asyraf99,@SyedSaddiq 6 bulan 2 kali naik pangkat.
kween_keela,@SyedSaddiq Demokrasi.
akitial,"@SyedSaddiq Bottom line, all of them are incompetent.. self absorb, selfish. Most of all nothing they do is for the people. Only for their own pocket and false power. They dont know that the position is to work for the people. Nothing else but for the people.Too stupid to even acknowledge it"
tikah_dtg,@SyedSaddiq Dah penat tgk baby boomers jajah malaysia ni
loyarbrooke,"@SyedSaddiq Zero Governance, Zero Leadership, Zero Comms, Zero Integrity and everything la."
stpinkie,"@SyedSaddiq We are in &amp; out of lockdown and pkp but we don't see the govt making sufficient use of this precious time to upgrade testing, vaccination &amp; also quarantine facilities. Lockdown is the means to the solution but not a solution in itself. Tired of it being used as knee jerk reaction"
sirkulangka17,@SyedSaddiq Kerana sistem kerajaan yg MALINGKUP.
saarisamad,@SyedSaddiq Lawan bagi pihak orang2 dulu yang gagal pertahan kerajaan
aiman_anaz,"@SyedSaddiq terdapat segelintir pemimpin yang bengap buat kerja, fikir poket sendiri jew."
ryzalazwir,@SyedSaddiq #Lawan bila segelintir pemimpin gila kuasa dan berkepentingan. Pemimpin sekarang dan juga sebelumnya. Tiada beza. Ada yang poyo amik kisah tapi hanya boneka. Ada yang perihatin tapi hanya sandiwara. Moga tuhan laknat semua yang menindas.
chambakchallo,"@SyedSaddiq Tak larat dah berkurung, serabut, rimas, stress, dah lama tak hirup udara luar. Dah lama tak keluar, nak keluar kejap2 pun tak boleh anak2 kat rumah takde sape jaga."
akhimal1,@SyedSaddiq YB kata junjung Titah Tuanku. Tuaku ada Titah bina gelombang hijau di kala pandemik ke YB? Tak kan beria nk panjat pagar lagi?
hazrinhafetz,@SyedSaddiq sebab atuk kau yang bodoh tu la
ridhwanshahz,@SyedSaddiq Tak tahan dengan pkpd yang dilaksanakan di selangor wal hal kebanyakan penduduk di selangor hanya stay at home tetapi masih lagi kes meningkat dan tidak menurun selama sebulan malah 40% kluster tempat kerja dan kebanyakannya di industri masih lagi dibuka. #Lawan
whocare367,"@SyedSaddiq sebab kita pula KENA BAYAR POLITICIAN punya incompetent.. KEBODOHAN.. kedai kena tutup, duit simpanan habis mkn kena catu.. then our TIME.. bazir sbb KEBODOHAN DAN KEANGKUHAN..."
zzukkk_,@SyedSaddiq Pom pang pom pang...  https://t.co/R85hBOjfqB
syamsulazim,@SyedSaddiq Sebab tak benarkan peniaga seperti kami beroperasi. Kami hampir lumpuh 70%. Dorang penting kilang yang besar besar naga.  https://t.co/8qCmShzS3B
mrihdwan,"@SyedSaddiq We are almost there for the biggest riot in history of Malaysia. Jangan sampai jadi mcm luar negara, pemimpin kena tembak mati sebab we are all at the peak of losing it."
nurysrmli,"@SyedSaddiq Sebab rakyat dianiaya oleh kerajaan yang buat kerja sambil lewa,takde ciri2 utk bebaskan malaysia dari covid langsung. Its obvious,they did this just to stay in power. We must fight for our right,for our future!!"
salehudin_sdb,@SyedSaddiq Sebab benci kerajaan sekarang dan 3rd force.. lagi² anak muda yang acah sembang idea segar tapi di belakang dok sokong idea kuno MAGERAN n kerap pergi meeting dengan Azmin.. Idea segar mcm exit plan PH di kata pembangkang lemah.. sedih tgk parti haram tapi acah²..
zulaikhrxanx,"@SyedSaddiq frontliners makin penat tapi sop terumbang ambing , rakyat semakin stress kerana hilang pekerjaan , bendera putih terpaksa dikibarkan di negara kita kerana ramai yang terputus bekalan makanan akibat tiada bantuan yang dihulurkan , para menteri mengambil enteng isu sop"
shah07099891,@SyedSaddiq Kejam memperlakukan rakyat!..sedangkan mereka berada diatas sebab undian kami tuk membela kami rakyat!..yang lain tu sudah diterangkan oleh sahabat2 yang lain..
puteriminang,@SyedSaddiq Sebab @AzminAli tak peduli suara majoriti rakyat. Sebab @MuhyiddinYassin nak berpegang pada kuasa sampai sanggup zalim kpd rakyat. Sebab menteri2 skrg tak kompetent. Sebab pemimpin2 PAS tak habis2 tunggang agama. Sebab kerajaan skrg GAGAL.  https://t.co/4d2kAkebsf
xmrxllxh,@SyedSaddiq Kau bodoh budak hingusan..  Simple
msyatiihalil,@SyedSaddiq 1. SOP yang tak menjadi jadi 2. Tak dengar suara rakyat 3. Bermain politik kotor dan memperbodohkan rakyat 4. KAMI NAK BELAJAR DI KAMPUS DAN SEKOLAH SEMULA! 5. Semakin ramai yang gadaikan harta dek hilang punca pendapatan.  6. GILA KUASA DAN SILA TURUN DARI KEKUASAAN MELAMPAU!
amyrulafiq,@SyedSaddiq Penat lah cirit birit banyak kali. Hmmmm
hafizudindzul,"@SyedSaddiq Apa malapetaka yang kerajaan buat hanya untuk sehari dah jadikan rakyat hilang sabar, inikan 7 bulan yang takde hasil pon. Lagi parah ada la"
ehsanshah7,@SyedSaddiq Punca kau dengan kuncu2 kau laa..lepastu atuk resign..pastu abah kau pulak khianat..pastu nak salahkan rakyat asal undi abah kau..ahh lancau laa ni semua..
khairulafizmy,"@SyedSaddiq Kerajaan x brjiwa rakyat Fail handle covid cases Nampak sgt gila kuasanya Double standard  Nak jd kerajaan ni as long you jaga/dgr rakyat dan tnjukkn, terangkan secara logik stiap tindakkan yg diambil dlm mngurus/memajukn negara. InsyaAllah boleh dpt sokongan rakyat."
blvckbvnny,@SyedSaddiq Serious ah..? Penat nak jawab. Banyak sangat sebab kami #Lawan ..
fxrdraptor,@SyedSaddiq Darah pahlawan mengalir dalam badan.. turun temurun dari nenek moyang.. hanya ingin memperjuang kan kebenaran dan keadilan demi tanah air ku di masa hadapan..
rei_yoshiki,@SyedSaddiq Two answer 1. Double standards 2. Refer to no 1
ikmalhi,@SyedSaddiq Saya tak lawan. Saya #Pause
salinaahmad90,"@SyedSaddiq Buat diploma/degree from home ""boleh pulak kerajaan umumkan tiada kenaikan yuran"" perlu ke nak naik time2 covid ni? bukan yuran kena tolak or disc ke??? Memang  menguji kesabaran la bapak bapak menteri ni!"
gummycammy,"@SyedSaddiq @Afiq_aznan It all started again bcs of #kerajaangagal and here we are, tanggung everything.. senang la pak menteri, gaji on going.. kami yang business? Duit tak masuk, tapi still kena bayar gaji pekerja."
irsyadasfihan,@SyedSaddiq Sebab dah penat tengok orang tua bodoh memerintah
_rodahidup,@SyedSaddiq Siapa #Lawan?  Saya #Kawan!  Jalan keluar hanyalah VAKSIN bukan political murahan.   Mane janji #PRU14?
sachwir,@SyedSaddiq What else do you want us to do?
