nuru1ain_,@SyedSaddiq Penat dengan Azmin.
khairusani7,"@SyedSaddiq penat hari2 tgk kes makin naik. menteri2 pon makin berlagak n lupe diri, lupa tanggungjawab jd menteri, double standard.... 🏴🏴🏴"
o7991h4,"@SyedSaddiq saya nak masuk universiti je, saya dah tak tahan belajar online dari sem 1"
izdhrhkl,@SyedSaddiq Saya nak ubah destini anak bangsa…ehh macam tagline Universiti **** la
tidakbulitahan1,"@SyedSaddiq #kamiletihsudah  Sewa rumah, kereta, bil air dan elektrik tertunggak kerana tidak dapat bekerja. Harapan semakin hari semakin tipis."
sankerganesh6,"@SyedSaddiq Keangkuhan dan sifat lupe diri, termasuk penyalahgunaan wang rakyat utk mengkayakan keturunan depa…"
silvrfury,@SyedSaddiq TIDAK ADIL TIDAK PROFESIONAL TIADA INTEGRITI RASUAH DOUBLE STANDARD ZALIM TIDAK PRIHATIN TIDAK IKHLAS DAN PALING PENTING SEKALI   B O D O H
aniqanas,@SyedSaddiq 1. Biasness of mco/cmco limit 2. Pitiful vaccine distribution 3. Shameful &amp; insensitive remarks 4. Overall incompetency to govern
twtpeep,@SyedSaddiq penat. sebab di atas terlalu di atas dan berpijak di bumi tak nyata.  also azmin ali
mrbabuk90,@SyedSaddiq Sy ikut orang² je tuan. 😌😌😌
afman7903,"@SyedSaddiq Penat dah pkp, pkpd, pkpb."
y15koon,"@SyedSaddiq We already fully follow any SOP imposed by the government. But the ministers not following the Sops, so what is the purpose for staying at home for 1 and a half year online studies and not even RM1 discount from the uni."
tijnarinif,@SyedSaddiq We need the government to start governing the country instead of shaking their legs doing nothing &amp; enjoying their life on the account of the rakyat's suffering. We need them to understand that our livelihood is affected due to their incompetency. We need changes to move forward!
aamzn10,"@SyedSaddiq Incompetent gov. Dah lantik Dr Zul tu dh bagus tp kena buat bnda yg sama utk bidang lain, eg, KPM, KKM, dsb. Dan tak puas hati knp and jemin dpt vaksin dlu? Aku oku smpai skrg tak dpt lg. Ank jemin tu oku ke? Warga emas? Frontliner? Dan stop unnecessary censorship."
kzeekasim,@SyedSaddiq  https://t.co/VnaIhFjsOb
khawasake,@SyedSaddiq Because we need a government body that cares about it's people. simple as that
theisyraff,@SyedSaddiq Kuasa rakyat semakin lemah Demokrasi semakin pudar Suara rakyat tidak didengari Rakyat semakin tenat Ramai kehilangan nyawa Mental health dipandang enteng
sowhateverlah,@SyedSaddiq Sbb brainless boomers+ old stupid minister yang tadbir negara since dulu very insensitive with the rakyat &amp; very out of touch plus gaji graduan sikit &amp; takde jaminan kerja after we graduate
abrar_theabrar,"@SyedSaddiq Last hope utk Malaysian youth, if we fail, then it's time to leave"
itsmehasraf,@SyedSaddiq Sebab nak #lawan
syarahbasirah,@SyedSaddiq Saya dah penat. Noktah
helloafif_,@SyedSaddiq penat dari segala sudut. baik dari handle pandemik sampai ke ekonomi. secara keseluruhan kerajaan ni gagal dan akan bagi mudarat kepada negara jika mereka kekal memerintah.
sikhwannudin,@SyedSaddiq Xlarat dh nk makan super ring...
upupkenchoong,@SyedSaddiq Supaya semua politician kat Malaysia ni jadi kurang banggang 😂🤣   https://t.co/awAOvMz0yh
acapazizan,@SyedSaddiq Kami dah penat hidup double standard. menteri pentingkan diri. 😌😌😌😌
sykrzck,"@SyedSaddiq 1. We didnt even elect this leader/govt. We dont even want them.  2. Make rakyats lives more miserable, help is slow &amp; uncoordinated.  3. Double standard sops.  4. Menteri2 Tua slow, narcissistic, no accountability blames others for their own incompetence."
mawwiahhh,@SyedSaddiq Because how many more people have to suffer because of how the govt grossly mishandled this pandemic?
